,0
cg06380007,0.3929923519819731
cg07751287,0.05504950718503622
cg16099624,0.05367317595487868
cg17875429,0.04630351593165191
cg13768269,0.04305971507158083
cg10081998,0.036362227213881874
cg18558423,0.03525357951376618
cg08097417,0.029808657049640815
cg27382393,0.02740196754708278
cg21620969,0.024153183043467034
cg06597541,0.023335902326551743
cg14663510,0.023221791048185475
cg22285878,0.02092101368400241
cg10487127,0.019000629364390054
cg27628849,0.017579658589557637
cg27187555,0.0173594052545859
cg25947489,0.016925200167077537
cg00553917,0.01683883522551465
cg01060059,0.016002044534925375
cg25353608,0.012957132227714099
cg07485198,0.010211961158107123
cg17502594,0.008598706512247603
cg23999170,0.007532251561894948
cg14361627,0.007429567528663116
cg11082362,0.0073729267254794085
cg03206359,0.006128273219778064
cg22350835,0.006116470265050126
cg13681701,0.005498680517100594
cg23282441,0.004914600734790798
