,0
cg00422578,0.1641819170801344
cg17172683,0.14141499900133023
cg24657817,0.03893749785229622
cg11540735,0.03824703824009817
cg08582555,0.03568211389217098
cg05619586,0.031885987925330435
cg05248542,0.026478600697124207
cg11539351,0.024520406696074585
cg11552903,0.01913185267725229
cg20110742,0.01642218798003491
cg22158769,0.0160177170740176
cg24641276,0.01523305297750849
cg17888390,0.01479510884924781
cg18760587,0.014715941128124198
cg21459229,0.013658503469591925
cg04396495,0.01362281325014815
cg14981422,0.013250388495854635
cg15877915,0.012892708121867224
cg18556420,0.01082884742916522
cg12325455,0.009513943747783802
cg18512948,0.008894566851884172
cg07806361,0.008295977678471931
cg16276523,0.007998621598030924
cg26314055,0.00796002514144941
cg20791669,0.0077378295911115615
cg24382686,0.007702406568731351
cg06704969,0.007639830833532209
cg16744961,0.007392823391986433
cg02019508,0.007080403118974926
cg19007167,0.007062004015017543
cg10874644,0.006886803907693001
cg06437840,0.006775520875164819
cg01163369,0.006725102540877299
cg08308556,0.0066723966089049635
cg26976707,0.006623835660424177
cg20697251,0.006617276416887124
cg25733559,0.006516012873706941
cg07971797,0.00630962615671553
cg15609373,0.006030257770522596
cg25578048,0.0035348507964196186
cg10791696,0.003382719326609268
cg02912316,0.0033633960421454606
cg19861427,0.00333735728880383
cg21241151,0.0032569341517765583
cg07289335,0.003130634967390043
cg04984556,0.003116553579963445
cg21003878,0.0031037882254445954
cg07657357,0.003096956291516516
cg14913216,0.0030614606435525483
cg15576012,0.0029880464184208234
cg27146152,0.0029228641083369616
cg06099126,0.0029033502689607906
cg10836809,0.0028997117094730967
cg03592654,0.0028710229724704054
cg26576937,0.0028519889287003763
cg00350296,0.0028297603483454638
cg10451724,0.0028099296194854326
cg01793865,0.002807010056395591
cg03473532,0.002739604164562242
cg06867755,0.0027367241048948067
